source_line,method,uri,route_name,surface,inventory_kind,review_status,action,middleware
373,GET|HEAD,admin/pos/sales/{order},admin.pos.sales.show,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PosController@sale,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
349,GET|HEAD,admin/pos/shifts,admin.pos.shifts.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PosController@shifts,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.shifts.review
309,GET|HEAD,admin/products,admin.products.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\ProductController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
310,GET|HEAD,admin/products/create,admin.products.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\ProductController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
312,GET|HEAD,admin/products/{product}/edit,admin.products.edit,Admin,page candidate,OPEN,App\Http\Controllers\Admin\ProductController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:catalog.manage
426,GET|HEAD,admin/promotions,admin.promotions.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PromotionController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
427,GET|HEAD,admin/promotions/create,admin.promotions.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PromotionController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
429,GET|HEAD,admin/promotions/{promotion}/edit,admin.promotions.edit,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PromotionController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:promotions.manage
399,GET|HEAD,admin/purchases,admin.purchases.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PurchaseController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
400,GET|HEAD,admin/purchases/create,admin.purchases.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PurchaseController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
402,GET|HEAD,admin/purchases/{purchase},admin.purchases.show,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PurchaseController@show,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
403,GET|HEAD,admin/purchases/{purchase}/receiving,admin.purchases.receiving,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PurchaseController@receiving,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
332,GET|HEAD,admin/returns,admin.returns.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\ReturnRequestController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.view
333,GET|HEAD,admin/returns/{returnRequest},admin.returns.show,Admin,page candidate,OPEN,App\Http\Controllers\Admin\ReturnRequestController@show,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.view
322,GET|HEAD,admin/reviews,admin.reviews.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\ProductReviewController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:reviews.manage
481,GET|HEAD,admin/settings/deploy-center,admin.settings.deploy-center,Admin,page candidate,OPEN,App\Http\Controllers\Admin\DeployCenterController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:deploy.manage
459,GET|HEAD,admin/settings/notifications,admin.settings.notifications,Admin,page candidate,OPEN,App\Http\Controllers\Admin\NotificationCenterController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
462,GET|HEAD,admin/settings/notifications/automation,admin.settings.notifications.automation,Admin,page candidate,OPEN,App\Http\Controllers\Admin\NotificationCenterController@automation,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
463,GET|HEAD,admin/settings/notifications/diagnostics,admin.settings.notifications.diagnostics,Admin,page candidate,OPEN,App\Http\Controllers\Admin\NotificationCenterController@diagnostics,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
460,GET|HEAD,admin/settings/notifications/logs,admin.settings.notifications.logs,Admin,page candidate,OPEN,App\Http\Controllers\Admin\NotificationCenterController@logs,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
461,GET|HEAD,admin/settings/notifications/templates,admin.settings.notifications.templates,Admin,page candidate,OPEN,App\Http\Controllers\Admin\NotificationCenterController@templates,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
